CODIGO,DESCRIPCION,LATITUD,LONGITUD,DIRECION,CP,POBLACION,PROVINCIA,PAIS,CERCANIAS,FEVE,COMUN
5961,LA ESPERANZA,37.6137635,-0.8914408,"Ctra. Esperanza A Portman, S/N",30369,MURCIA,MURCIA,ESPAÑA,SI,SI,
5963,LA UNIÓN VIEJA,37.6154668,-0.8816322,"C/ Camilo Jose Cela, S/N",30360,UNIÓN (LA),MURCIA,ESPAÑA,SI,SI,
5965,LA UNIÓN,37.6155485,-0.875132,"C/ de la Gabriela, S/N",30360,UNIÓN (LA),MURCIA,ESPAÑA,SI,SI,
5967,SIERRA MINERA,37.6198783,-0.8648822,"Ctra. Rm-F43 Km 1 - Estación Ferrocarril, S/N",30360,UNIÓN (LA),MURCIA,ESPAÑA,SI,SI,
5969,LLANO DEL BEAL,37.6260468,-0.8362123,"C/ Zorrilla, 4",30381,CARTAGENA,MURCIA,ESPAÑA,SI,SI,
5971,EL ESTRECHO,37.6276079,-0.829592,"Ctra. Rn - F43 El Estrecho, S/N",30381,FUENTE ÁLAMO DE MURCIA,MURCIA,ESPAÑA,SI,SI,
5973,NIETOS VIEJOS,37.6469125,-0.7915137,"Avda. del Progreso, 64",30383,CARTAGENA,MURCIA,ESPAÑA,SI,SI,
5975,LOS NIETOS PESCADERÍA,37.6493515,-0.7878563,"C/ Santa Teresa, S/N",30383,CARTAGENA,MURCIA,ESPAÑA,SI,SI,
5977,LOS NIETOS,37.6518304,-0.7970802,"C/ Datil del Mar, 20",30383,CARTAGENA,MURCIA,ESPAÑA,SI,SI,
6001,LIBRILLA,37.8865575,-1.3471313,"Calle Camino de la Estación S/N, Librilla, Murcia",30892,LIBRILLA,MURCIA,ESPAÑA,SI,NO,
6002,ALHAMA DE MURCIA,37.8494024,-1.4145141,"C/ la Estación, 8",30840,ALHAMA DE MURCIA,MURCIA,ESPAÑA,SI,NO,
6003,TOTANA,37.7635424,-1.4956153,Camino de la Estación S/N,30850,TOTANA,MURCIA,ESPAÑA,SI,NO,
6004,LA HOYA,37.7037424,-1.5958091,"Ctra. El Hinojar, S/N --- Estación Renfe",30816,LORCA,MURCIA,ESPAÑA,SI,NO,
6005,LORCA-SAN DIEGO,37.6807168,-1.6856452,Canal de San Diego S/N,30800,LORCA,MURCIA,ESPAÑA,SI,NO,
6006,LORCA-SUTULLENA,37.6721129,-1.6962305,"C/ Alameda de Menchiron, S/N",30800,LORCA,MURCIA,ESPAÑA,SI,NO,
6008,ALCANTARILLA-LOS ROMANOS,37.9642993,-1.2169837,"Calle Secretario Ruiz Palazon, S/N",30820,ALCANTARILLA,MURCIA,ESPAÑA,SI,NO,
7004,ÁGUILAS,37.409865,-1.5725342,"Paseo de la Estación, S/N",30880,ÁGUILAS,MURCIA,ESPAÑA,SI,NO,
8004,SEGOVIA-GUIOMAR,40.910577,-4.094564,"Paseo Campos de Castilla, S/N",40006,SEGOVIA,SEGOVIA,ESPAÑA,NO,NO,SEGOV
8223,VIGO URZAIZ,42.234189,-8.713728,Rúa Vía Norte S/N,36201,VIGO,PONTEVEDRA,ESPAÑA,NO,NO,VIGO-
8224,REDONDELA AV,42.286005,-8.619402,"Estrada de Pazos, 10",36818,REDONDELA,PONTEVEDRA,ESPAÑA,NO,NO,REDON
8240,MEDINA DEL CAMPO AV,41.317459,-4.910071,"Ctra. Vp-8904 de las Salinas, Km 1,500",47400,MEDINA DEL CAMPO,VALLADOLID,ESPAÑA,NO,NO,MEDIN
8247,SANABRIA AV,42.0450532,-6.5631319,"Carretera N-525 P.k. 78+100, Polígono 34 Parcela 9006",49320,PUEBLA DE SANABRIA,ZAMORA,ESPAÑA,NO,NO,PUEBL
8251,A GUDIÑA-PORTA DE GALICIA,42.0606439,-7.132532,"Rúa Viana, S/N",32540,GUDIÑA (A),OURENSE,ESPAÑA,NO,NO,
10000,MADRID-PRÍNCIPE PÍO,40.4214895,-3.7189689,"Paseo de la Florida, 2",28008,MADRID,MADRID,ESPAÑA,SI,NO,MADRI
10001,ARAVACA,40.4484551,-3.7855547,"Avda. del Talgo, S/N - Rosas de Aravaca, S/N",28023,MADRID,MADRID,ESPAÑA,SI,NO,
10002,POZUELO,40.4474569,-3.8002779,Pza. de la Estación S/N,28224,POZUELO DE ALARCÓN,MADRID,ESPAÑA,SI,NO,
10005,LAS ROZAS,40.4942887,-3.8681747,Ctra. de la Coruña Km.,28230,ROZAS DE MADRID (LAS),MADRID,ESPAÑA,SI,NO,
10100,PINAR DE LAS ROZAS,40.5222672,-3.8822477,"Avenida Bomberos S/N, las Rozas de Madrid (Madrid)",28230,ROZAS DE MADRID (LAS),MADRID,ESPAÑA,SI,NO,
10101,LAS MATAS,40.5523869,-3.8967664,"Paseo del Ferrocarril, S/N",28290,ROZAS DE MADRID (LAS),MADRID,ESPAÑA,SI,NO,
10103,TORRELODONES,40.574554,-3.9566013,Pza. Salvador Sanchez Frascuelo S/N,28250,TORRELODONES,MADRID,ESPAÑA,SI,NO,
10104,GALAPAGAR-LA NAVATA,40.6003138,-3.982259,"Carretera de Galapagar A la Navata S/N, Galapagar (Madrid)",28420,GALAPAGAR,MADRID,ESPAÑA,SI,NO,
10200,VILLALBA DE GUADARRAMA,40.6264893,-4.0080301,Pza. de la Estación S/N,28400,COLLADO VILLALBA,MADRID,ESPAÑA,SI,NO,
10201,SAN YAGO,40.6178953,-4.0310749,Avda. Saltos del Sil S/N,28292,GALAPAGAR,MADRID,ESPAÑA,SI,NO,
10202,LAS ZORRERAS-NAVALQUEJIGO,40.6093116,-4.0463626,"Camino de la Estación, S/N",28292,SAN LORENZO DE EL ESCORIAL,MADRID,ESPAÑA,SI,NO,
10203,EL ESCORIAL,40.5853675,-4.1324053,"Calle Santa Rosa 85, El Escorial (Madrid)",28280,SAN LORENZO DE EL ESCORIAL,MADRID,ESPAÑA,SI,NO,
10204,ZARZALEJO,40.5389272,-4.1580662,"C/ del Ferrocarril, S/N",28293,ZARZALEJO,MADRID,ESPAÑA,SI,NO,
10205,ROBLEDO DE CHAVELA,40.5208244,-4.2467592,"Avda. Estación Ferrocarril, S/N",28294,ROBLEDO DE CHAVELA,MADRID,ESPAÑA,SI,NO,
10206,SANTA MARÍA DE LA ALAMEDA-PEGUERINOS,40.569001,-4.2691255,"C/ Doce de Octubre, S/N",28296,SANTA MARÍA DE LA ALAMEDA,MADRID,ESPAÑA,SI,NO,
10207,LAS NAVAS DEL MARQUÉS,40.589205,-4.362259,"Avda. Estación Ferrocarril, S/N",5230,NAVAS DEL MARQUÉS (LAS),ÁVILA,ESPAÑA,NO,NO,
10208,NAVALPERAL,40.591152,-4.408382,"Avda. Estación Ferrocarril, S/N",5240,NAVALPERAL DE PINARES,ÁVILA,ESPAÑA,NO,NO,
10209,EL PIMPOLLAR,40.567587,-4.283541,"C/ Estación Ferrocarril, S/N",28296,SANTA MARÍA DE LA ALAMEDA,MADRID,ESPAÑA,NO,NO,
10300,HERRADÓN-LA CAÑADA,40.599275,-4.495039,"Avda. Estación Ferrocarril, S/N",5294,HERRADÓN DE PINARES,ÁVILA,ESPAÑA,NO,NO,
10302,GUIMORCONDO,40.649062,-4.614987,"Avda. Estación Ferrocarril, S/N",5004,ÁVILA,ÁVILA,ESPAÑA,NO,NO,
10400,ÁVILA,40.657255,-4.683312,"Paseo Estación Ferrocarril, S/N",5001,ÁVILA,ÁVILA,ESPAÑA,NO,NO,
10409,ARÉVALO,41.047123,-4.701988,"C/ Deposito, S/N",5200,ARÉVALO,ÁVILA,ESPAÑA,NO,NO,
10500,MEDINA DEL CAMPO,41.317617,-4.909923,"Avda. Estación Ferrocarril, 27",47400,MEDINA DEL CAMPO,VALLADOLID,ESPAÑA,NO,NO,MEDIN
10501,POZALDEZ,41.36792,-4.836001,"C/ Estación Ferrocarril, S/N",47220,POZALDEZ,VALLADOLID,ESPAÑA,NO,NO,
10502,MATAPOZUELOS,41.422794,-4.801025,"C/ Camino Estación Ferrocarril, S/N",47230,MATAPOZUELOS,VALLADOLID,ESPAÑA,NO,NO,
10503,VALDESTILLAS,41.488729,-4.772937,"Avda. Valladolid, S/N",47240,VALDESTILLAS,VALLADOLID,ESPAÑA,NO,NO,
10504,VIANA,41.52407,-4.754489,"C/ Estación Ferrocarril, S/N",47150,VIANA DE CEGA,VALLADOLID,ESPAÑA,NO,NO,
10600,VALLADOLID-CAMPO GRANDE,41.642167,-4.726986,"C/ Recondo, S/N",47007,VALLADOLID,VALLADOLID,ESPAÑA,NO,NO,
10602,CABEZÓN DEL PISUERGA,41.737276,-4.651294,"C/ Estación Ferrocarril, S/N",47260,CABEZÓN DE PISUERGA,VALLADOLID,ESPAÑA,NO,NO,
10603,CORCOS-AGUILAREJO,41.766446,-4.623485,"Camino Estación Ferrocarril, S/N",47281,CORCOS,VALLADOLID,ESPAÑA,NO,NO,
10604,CUBILLAS DE SANTA MARTA,41.808861,-4.579754,"C/ Camino del Apeadero, S/N",47290,CUBILLAS DE SANTA MARTA,VALLADOLID,ESPAÑA,NO,NO,
10605,DUEÑAS,41.87048,-4.541216,"C/ Estación Ferrocarril, 7",34210,DUEÑAS,PALENCIA,ESPAÑA,NO,NO,
10610,VALLADOLID UNIVERSIDAD,41.660257,-4.704037,"Ctra. Juan Carlos I, S/N",47011,VALLADOLID,VALLADOLID,ESPAÑA,NO,NO,
11000,VENTA DE BAÑOS,41.91736,-4.495844,"C/ Linea Ferrocarril, 3 - 7",34200,VENTA DE BAÑOS,PALENCIA,ESPAÑA,NO,NO,
11004,MAGAZ,41.976561,-4.432114,"Avda. Virgen de Villaverde, S/N",34220,MAGAZ DE PISUERGA,PALENCIA,ESPAÑA,NO,NO,
11006,QUINTANA DEL PUENTE,42.079974,-4.19858,"C/ Aselmo Arenillas, S/N",34250,QUINTANA DEL PUENTE,PALENCIA,ESPAÑA,NO,NO,
11009,VILLAQUIRÁN,42.215717,-3.999396,"Ctra. Estación Ferrocarril, S/N",9118,VILLAQUIRÁN DE LOS INFANTES,BURGOS,ESPAÑA,NO,NO,
11014,BURGOS-ROSA MANZANO,42.371197,-3.666308,"Avda. Principe de Asturias, S/N",9006,BURGOS,BURGOS,ESPAÑA,NO,NO,
11109,BRIVIESCA,42.542765,-3.319287,"C/ Vía Ferrea, S/N",9240,BRIVIESCA,BURGOS,ESPAÑA,NO,NO,
11111,PANCORBO,42.630486,-3.112307,"C/ Estación Ferrocarril, 2",9280,PANCORBO,BURGOS,ESPAÑA,NO,NO,
11200,MIRANDA DE EBRO,42.691024,-2.940366,"Pza. Estación Ferrocarril, S/N",9200,MIRANDA DE EBRO,BURGOS,ESPAÑA,SI,NO,
11203,MANZANOS,42.742899,-2.867501,"C/ Rio Zadorra Kalea, S/N",1220,RIBERA BAJA/ERRIBERA BEITIA,ARABA/ÁLAVA,ESPAÑA,SI,NO,
11204,LA PUEBLA DE ARGANZÓN,42.765245,-2.830385,"C/ Estación Ferrocarril, S/N",9294,PUEBLA DE ARGANZÓN (LA),BURGOS,ESPAÑA,SI,NO,
11205,NANCLARES-LANGRAIZ,42.816216,-2.804942,"La Estación Kalez, S/N",1230,IRUÑA OKA/IRUÑA DE OCA,ARABA/ÁLAVA,ESPAÑA,SI,NO,
11208,VITORIA-GASTEIZ,42.841517,-2.672601,"Plazuela de la Estación, 1",1005,VITORIA-GASTEIZ,ARABA/ÁLAVA,ESPAÑA,SI,NO,
11209,ESTÍBALIZ-OREITIA,42.853965,-2.560163,,,VITORIA-GASTEIZ,ARABA/ÁLAVA,ESPAÑA,NO,NO,
11210,ALEGRÍA-DULANTZI,42.848723,-2.514668,"C/ Estación Ferrocarril, S/N",1240,ALEGRÍA-DULANTZI,ARABA/ÁLAVA,ESPAÑA,SI,NO,
11212,AGURAIN-SALVATIERRA DE ÁLAVA,42.84643,-2.38921,"C/ Trebiño Kalea, S/N",1200,SALVATIERRA/AGURAIN,ARABA/ÁLAVA,ESPAÑA,SI,NO,
11213,ARAIA,42.869599,-2.306807,"C/ Estación Ferrocarril, S/N",1208,ZALDUONDO,ARABA/ÁLAVA,ESPAÑA,SI,NO,
11300,ALTSASU,42.894847,-2.181237,"C/ Estación Ferrocarril, S/N",31800,ALTSASU/ALSASUA,NAVARRA,ESPAÑA,SI,NO,
11303,ZEGAMA-OTZAURTE (APT),42.939412,-2.263581,,,ZEGAMA,GIPUZKOA,ESPAÑA,NO,NO,
11305,BRINKOLA,43.0189865,-2.3346811,"Brinkola Nucleo - Legazpia, S/N",20220,LEGAZPI,GIPUZKOA,ESPAÑA,SI,NO,
11306,LEGAZPI,43.0510385,-2.3306103,"C/ Estación, S/N",20320,LEGAZPI,GIPUZKOA,ESPAÑA,SI,NO,
11400,ZUMARRAGA,43.0870824,-2.3202298,Estación S/N,20700,ZUMARRAGA,GIPUZKOA,ESPAÑA,SI,NO,
11402,ORMÁIZTEGUI,43.0402752,-2.256462,"Sakabanatua, 23",20216,ORMAIZTEGI,GIPUZKOA,ESPAÑA,SI,NO,
11404,BEASAIN,43.0462687,-2.2022994,"Pla. Barrendain, S/N",20200,BEASAIN,GIPUZKOA,ESPAÑA,SI,NO,
11405,ORDIZIA,43.0527547,-2.1791923,Joseba Rezolaren Pasalekua,20240,ORDIZIA,GIPUZKOA,ESPAÑA,SI,NO,
11500,TOLOSA,43.1354472,-2.0790886,Geltoki Kalea - Bajo,20400,TOLOSA,GIPUZKOA,ESPAÑA,SI,NO,
11501,TOLOSA-CENTRO,43.1393963,-2.0741122,Pablo Gorosabel,20400,TOLOSA,GIPUZKOA,ESPAÑA,SI,NO,
11503,BILLABONA-ZIZURKIL,43.1891906,-2.0553722,"C/ Aurrerra Pla., 5",20150,VILLABONA,GIPUZKOA,ESPAÑA,SI,NO,
11504,ANDOAIN-CENTRO,43.2155738,-2.0204595,"C/ Joaquín Larreta, S/N",20140,ANDOAIN,GIPUZKOA,ESPAÑA,SI,NO,
11505,ANDOAIN,43.2220458,-2.0156757,"Barrio Estación, S/N",20140,ANDOAIN,GIPUZKOA,ESPAÑA,SI,NO,
11507,HERNANI-ERDIA,43.2664779,-1.9726232,"Atzieta Kalea, S/N",20120,HERNANI,GIPUZKOA,ESPAÑA,SI,NO,
11511,SAN SEBASTIÁN-DONOSTIA,43.3176961,-1.9767172,"Paseo de Francia 22, Donosti (Guipuzcoa)",20012,DONOSTIA/SAN SEBASTIÁN,GIPUZKOA,ESPAÑA,SI,NO,
11512,GROS,43.3218457,-1.9738835,"C/ Misericordia,7",20001,DONOSTIA/SAN SEBASTIÁN,GIPUZKOA,ESPAÑA,SI,NO,
11513,ATEGORRIETA,43.3203225,-1.9598127,"Zubiaurre Pasealekua 27, Donostia-San Sebastian (Guipuzcoa)",20013,DONOSTIA/SAN SEBASTIÁN,GIPUZKOA,ESPAÑA,SI,NO,
11514,HERRERA,43.3193537,-1.9370173,"Paseo de Herrera, 3",20017,DONOSTIA/SAN SEBASTIÁN,GIPUZKOA,ESPAÑA,SI,NO,
11515,PASAIA,43.3189428,-1.9171727,Avda Navarra S/N,20110,PASAIA,GIPUZKOA,ESPAÑA,SI,NO,
11516,LEZO-RENTERÍA,43.3159364,-1.8994386,"C/ Jaizkibel,1",20100,LEZO,GIPUZKOA,ESPAÑA,SI,NO,
11522,INTXAURRONDO,43.3200487,-1.9517673,"Paseo Zubiaurre, S/N",20015,DONOSTIA/SAN SEBASTIÁN,GIPUZKOA,ESPAÑA,SI,NO,
11600,IRUN,43.3395365,-1.8012519,"Estación Kalea S/N, Irún (Gipuzkoa)",20301,IRUN,GIPUZKOA,ESPAÑA,SI,NO,IRUN-
11602,HENDAYA,43.352298,-1.783081,"Boulevard Du General de Gaulle, S/N",,IRUN,CEUTA,ESPAÑA,NO,NO,IRUN-
12001,LOS NEGRALES,40.638567,-4.0218746,"Avda. de la Reina Victoria, S/N",28409,ALPEDRETE,MADRID,ESPAÑA,SI,NO,
12002,ALPEDRETE,40.6581044,-4.0349719,"Camino de la Estación, 34",28439,ALPEDRETE,MADRID,ESPAÑA,SI,NO,
12004,COLLADO MEDIANO,40.6928982,-4.0359271,"C/ Real, 73",28450,COLLADO MEDIANO,MADRID,ESPAÑA,SI,NO,
12005,LOS MOLINOS-GUADARRAMA,40.7066407,-4.0671991,"C/ Pedro Gutierrez, S/N",28460,MOLINOS (LOS),MADRID,ESPAÑA,SI,NO,
12006,CERCEDILLA,40.7376129,-4.0662985,"C/ Emilio Serrano, 43",28470,CERCEDILLA,MADRID,ESPAÑA,SI,NO,
12007,TABLADA,40.705648,-4.12531,"Avda. Valle del Guadarrama, S/N",28480,GUADARRAMA,MADRID,ESPAÑA,NO,NO,
12008,GUDILLOS,40.716914,-4.157681,"Camino de Gudillos, S/N",40400,ESPINAR (EL),SEGOVIA,ESPAÑA,NO,NO,
12009,SAN RAFAEL,40.714944,-4.18143,"Barrio de San Rafael, S/N",40410,CASTRO DEL RÍO,SEGOVIA,ESPAÑA,NO,NO,
12010,EL ESPINAR,40.740852,-4.189482,"C/ Estación Ferrocarril, S/N",40400,CASTRO DEL RÍO,SEGOVIA,ESPAÑA,NO,NO,
12011,LOS ÁNGELES DE SAN RAFAEL,40.777909,-4.206933,"Urbanizacion los Angeles de San Rafael, S/N",40424,CASTRO DEL RÍO,SEGOVIA,ESPAÑA,NO,NO,
12012,OTERO-HERREROS,40.80097,-4.203504,"Barrio Estación Ferrocarril, S/N",40422,OTERO DE HERREROS,SEGOVIA,ESPAÑA,NO,NO,
12013,ORTIGOSA DEL MONTE,40.832771,-4.168094,"Avda. Estación Ferrocarril, S/N",40421,ORTIGOSA DEL MONTE,SEGOVIA,ESPAÑA,NO,NO,
12014,NAVAS DE RIOFRÍO-LA LOSA,40.856673,-4.141103,"C/ Estación Ferrocarril, S/N",40420,NAVAS DE RIOFRÍO,SEGOVIA,ESPAÑA,NO,NO,
12020,PUERTO DE NAVACERRADA,40.7844678,-4.0047744,"Calle Vitoria 1, Cercedilla (Madrid)",28470,CERCEDILLA,MADRID,ESPAÑA,SI,NO,
12023,LOS COTOS,40.8223419,-3.9644961,"Ctra. Sg - 615 --- Estación de Ferrocarril, S/N",40100,REAL SITIO DE SAN ILDEFONSO,SEGOVIA,ESPAÑA,SI,NO,
12100,SEGOVIA,40.93403,-4.11365,"C/ Obispo Quesada, 1",40006,SEGOVIA,SEGOVIA,ESPAÑA,NO,NO,SEGOV
13003,IZARRA,42.951409,-2.900755,,,URKABUSTAIZ,ARABA/ÁLAVA,ESPAÑA,NO,NO,
13106,LLODIO,43.1423514,-2.9606511,"C/ Jose Matia, 2",1400,LAUDIO/LLODIO,ARABA/ÁLAVA,ESPAÑA,SI,NO,
13119,LA PEÑA DE BILBAO,43.2401669,-2.9240429,"C/ Lekanda, 2",48003,BILBAO,BIZKAIA,ESPAÑA,SI,NO,
13120,MIRIBILLA,43.250429,-2.9305155,Santiago Compostela 13,48003,BILBAO,BIZKAIA,ESPAÑA,SI,NO,
13200,BILBAO-INTERMOD. ABANDO INDALECIO PRIETO,43.2601304,-2.9285592,"Pla. Circular, 2",48008,BILBAO,BIZKAIA,ESPAÑA,SI,NO,
13206,AMETZOLA,43.2547065,-2.9436598,"C/ Gordoniz, 49",48012,BILBAO,BIZKAIA,ESPAÑA,SI,NO,
14100,PALENCIA,42.015711,-4.534135,"Plaza de los Jardinillos S/N, Palencia",34005,PALENCIA,PALENCIA,ESPAÑA,NO,NO,
14101,MONZÓN DE CAMPOS,42.105538,-4.501677,"C/ Estación de Ferrocarril, S/N",34410,MONZÓN DE CAMPOS,PALENCIA,ESPAÑA,NO,NO,
14102,AMUSCO,42.178019,-4.480743,"Ctra. P- 983 - Estación Ferrocarril, S/N",34420,AMUSCO,PALENCIA,ESPAÑA,NO,NO,
14103,PIÑA,42.211747,-4.434689,"C/ Estación Ferrocarril, S/N",34430,PIÑA DE CAMPOS,PALENCIA,ESPAÑA,NO,NO,
14104,FRÓMISTA,42.2649,-4.402433,"C/ las Huesas, S/N",34440,FRÓMISTA,PALENCIA,ESPAÑA,NO,NO,
14105,MARCILLA DE CAMPOS,42.317393,-4.379713,,,MARCILLA DE CAMPOS,PALENCIA,ESPAÑA,NO,NO,
14107,OSORNO,42.415077,-4.357367,"Avda. Calvo Sotelo, S/N",34460,OSORNO LA MAYOR,PALENCIA,ESPAÑA,NO,NO,
14108,ESPINOSA DE VILLAGONZALO,42.452373,-4.367811,"C/ Apeadero, S/N",34491,ESPINOSA DE VILLAGONZALO,PALENCIA,ESPAÑA,NO,NO,
14111,HERRERA DE PISUERGA,42.598477,-4.316683,"Ctra. C- 627 --- Estación de Ferrocarril, S/N",34400,HERRERA DE PISUERGA,PALENCIA,ESPAÑA,NO,NO,
14112,ALAR DEL REY,42.656837,-4.311372,"C/ Estación Ferrocarril, S/N",34480,ALAR DEL REY,PALENCIA,ESPAÑA,NO,NO,
14113,MAVE,42.723726,-4.27616,"Pza. Estación Ferrocarril, S/N",34492,AGUILAR DE CAMPOO,PALENCIA,ESPAÑA,NO,NO,
14114,AGUILAR DE CAMPOO,42.785362,-4.233899,"Barrio Estación Ferrocarril, 18 - 19",34800,AGUILAR DE CAMPOO,PALENCIA,ESPAÑA,NO,NO,
14115,QUINTANILLA DE LAS TORRES,42.81903,-4.202753,"C/ Estación Ferrocarril, S/N",34811,POMAR DE VALDIVIA,PALENCIA,ESPAÑA,NO,NO,
14116,EL CARRIÓN (APD),42.1163504,-4.496321,,,MONZÓN DE CAMPOS,PALENCIA,ESPAÑA,NO,NO,
14117,EL CARRIÓN,42.1166417,-4.500692,"C/ Camino Becerril, S/N",34410,MONZÓN DE CAMPOS,PALENCIA,ESPAÑA,NO,NO,
14200,MATAPORQUERA,42.870901,-4.165406,C/ la Constitucion S/N- Mataporquera (Valdeolea),39410,VALDEOLEA,CANTABRIA,ESPAÑA,NO,NO,
14202,REINOSA,42.9944991,-4.1409454,Estación Adif Pza. de las Estaciónes S/N,39200,REINOSA,CANTABRIA,ESPAÑA,SI,NO,
14203,LANTUENO-SANTIURDE,43.0580731,-4.0840131,"C/ Lantueno 82, Santiurde de Reinosa (Cantabria)",39490,SANTIURDE DE REINOSA,CANTABRIA,ESPAÑA,SI,NO,
14204,PESQUERA,43.082333,-4.0738143,Estación Adif S/N,39491,PESQUERA,CANTABRIA,ESPAÑA,SI,NO,
14206,BÁRCENA,43.1287054,-4.053473,"Calle Doñini 17, Bárcena de Pie de Concha (Cantabria)",39420,BÁRCENA DE PIE DE CONCHA,CANTABRIA,ESPAÑA,SI,NO,
14207,MOLLEDO-PORTOLÍN,43.1456269,-4.0390334,Estación Adif S/N. C/portalon,39430,MOLLEDO,CANTABRIA,ESPAÑA,SI,NO,
14208,SANTA CRUZ DE IGUÑA,43.1701216,-4.0450627,"Estación Adif S/N. C/estacion, Barrio la Serna",39450,MOLLEDO,CANTABRIA,ESPAÑA,SI,NO,
14209,LAS FRAGUAS,43.193219,-4.0541127,"Barrio Estación las Fraguas S/N, Arenas de Iguña (Cantabria)",39450,ARROYO DE LAS FRAGUAS,CANTABRIA,ESPAÑA,SI,NO,
14210,LOS CORRALES DE BUELNA,43.2551009,-4.0639472,"Estación Adif, S/N --- Barrio Estación",39400,CORRALES DE BUELNA (LOS),CANTABRIA,ESPAÑA,SI,NO,
14211,LAS CALDAS DE BESAYA,43.2985945,-4.073252,"C/ Estación Adif, S/N",39460,CORRALES DE BUELNA (LOS),CANTABRIA,ESPAÑA,SI,NO,
14212,VIÉRNOLES,43.3245636,-4.0540441,Estación Adif S/N,39315,TORRELAVEGA,CANTABRIA,ESPAÑA,SI,NO,
14213,TORRELAVEGA,43.3276776,-4.0426871,"Estación Adif,joaquin Fernandez Vallejo S/N",39300,TORRELAVEGA,CANTABRIA,ESPAÑA,SI,NO,
14214,SIERRAPANDO,43.3417845,-4.0266342,"Estación Adif,barrio Estación S/N",39317,TORRELAVEGA,CANTABRIA,ESPAÑA,SI,NO,
14216,RENEDO,43.3531069,-3.9496471,"Estación Adif, Avda Luis de la Concha 1",39470,PIÉLAGOS,CANTABRIA,ESPAÑA,SI,NO,
14217,PARBAYÓN,43.3767446,-3.8942201,Estación Adif.barrio del Jurrio S/N,39612,PIÉLAGOS,CANTABRIA,ESPAÑA,SI,NO,
14218,GUARNIZO,43.3915101,-3.859545,"C/ Ramón y Cajal S/N, El Astillero (Cantabria)",39611,ASTILLERO (EL),CANTABRIA,ESPAÑA,SI,NO,
14219,BOO,43.4104796,-3.8415883,"C/ del Boo, 42",39691,ASTILLERO (EL),CANTABRIA,ESPAÑA,SI,NO,
14220,MALIAÑO,43.4161415,-3.8410762,"Estación Adif -- Avda. de Cantabria, S/N",39600,CAMARGO,CANTABRIA,ESPAÑA,SI,NO,
14223,SANTANDER,43.4583981,-3.8109529,Pza. de las Estaciónes S/N-Santander,39002,SANTANDER,CANTABRIA,ESPAÑA,SI,NO,
14229,ZURITA,43.3497231,-3.9335829,,,PIÉLAGOS,CANTABRIA,ESPAÑA,NO,NO,
14230,VALDECILLA,43.4540888,-3.8277628,"Avenida Candina S/N, Santander",39011,SANTANDER,CANTABRIA,ESPAÑA,SI,NO,
14231,NUEVA MONTAÑA,43.4401137,-3.8493866,"Estación Adif,c/ Alcalde Macario Rivero, S/N",39011,SANTANDER,CANTABRIA,ESPAÑA,SI,NO,
14232,LOMBERA,43.2658249,-4.0675902,"Calle San Cipriano, S/N, los Corrales de Buelna (Cantabria)",39400,CORRALES DE BUELNA (LOS),CANTABRIA,ESPAÑA,SI,NO,
14233,RÍO EBRO,43.0007554,-4.1344006,"Estación Adif, C/duque y Merino S/N",39200,CAMPOO DE ENMEDIO,CANTABRIA,ESPAÑA,SI,NO,
14234,PUJAYO,43.1228745,-4.0823753,"Ctra A Pujayo S/N/, Estación Adif, Bárcena de Pie de Concha (Cantabria)",39420,BÁRCENA DE PIE DE CONCHA,CANTABRIA,ESPAÑA,SI,NO,
14235,ARENAS DE IGUÑA,43.1850828,-4.0500754,"C/ Estación Adif, S/N.",39450,ARENAS DE IGUÑA,CANTABRIA,ESPAÑA,SI,NO,
14236,VIOÑO,43.360647,-3.9648063,Estación Adif S/N. Barrio de San Lorenzo,39479,PIÉLAGOS,CANTABRIA,ESPAÑA,SI,NO,
14237,MURIEDAS-BAHÍA,43.4216858,-3.8441175,"Estación Adif, C/ del Carmen S/N",39600,CAMARGO,CANTABRIA,ESPAÑA,SI,NO,
15001,GRIJOTA,42.049225,-4.583954,"Paseo Estación Ferrocarril, S/N",34192,GRIJOTA,PALENCIA,ESPAÑA,NO,NO,
15003,BECERRIL,42.104706,-4.64712,"Ctra. P - 953 --- Estación Ferrocarril, S/N",34310,BECERRIL DE CAMPOS,PALENCIA,ESPAÑA,NO,NO,
15004,PAREDES DE NAVA,42.150694,-4.697599,"Avda. Berruguete, 38",34300,PAREDES DE NAVA,PALENCIA,ESPAÑA,NO,NO,
15006,CISNEROS,42.19112,-4.850249,"Ctra. P - 932 --- Estación Ferrocarril, S/N",34320,CISNEROS,PALENCIA,ESPAÑA,NO,NO,
15007,VILLADA,42.245238,-4.970589,"C/ Estación Norte, S/N",34340,VILLADA,PALENCIA,ESPAÑA,NO,NO,
15008,GRAJAL,42.323246,-5.013381,"C/ Estación Ferrocarril, S/N",24340,GRAJAL DE CAMPOS,LEÓN,ESPAÑA,NO,NO,
15009,SAHAGÚN,42.369329,-5.022667,"C/ Tras Estación, S/N",24320,SAHAGÚN,LEÓN,ESPAÑA,NO,NO,
15012,EL BURGO RANERO,42.425753,-5.208592,"C/ Senda Estación Ferrocarril, S/N",24343,BURGO RANERO (EL),LEÓN,ESPAÑA,NO,NO,
15014,SANTAS MARTAS,42.460004,-5.386777,"C/ Estación Ferrocarril, 10-16",24330,SANTAS MARTAS,LEÓN,ESPAÑA,NO,NO,
